order_id,user_id,order_date
B-25601,1,01-04-2018
B-26011,1,12-02-2019
B-26074,1,21-03-2019
B-25602,2,01-04-2018
B-26012,2,13-02-2019
B-26075,2,21-03-2019
B-25603,3,03-04-2018
B-26013,3,13-02-2019
B-26076,3,21-03-2019
B-25604,4,03-04-2018
B-26014,4,13-02-2019
B-26077,4,22-03-2019
B-25605,5,05-04-2018
B-26015,5,14-02-2019
B-26078,5,22-03-2019
B-25606,6,06-04-2018
B-26016,6,14-02-2019
B-26079,6,22-03-2019
B-25607,7,06-04-2018
B-26017,7,14-02-2019
B-26080,7,22-03-2019
B-25608,8,08-04-2018
B-26018,8,14-02-2019
B-26081,8,22-03-2019
B-25609,9,09-04-2018
B-26019,9,15-02-2019
B-26082,9,23-03-2019
B-25610,10,09-04-2018
B-26020,10,16-02-2019
B-26083,10,24-03-2019
B-25611,11,11-04-2018
B-26021,11,17-02-2019
B-26084,11,25-03-2019
B-25612,12,12-04-2018
B-26022,12,18-02-2019
B-26085,12,26-03-2019
B-25613,13,12-04-2018
B-26023,13,19-02-2019
B-26086,13,26-03-2019
B-25614,14,13-04-2018
B-26024,14,19-02-2019
B-26087,14,26-03-2019
B-25615,15,15-04-2018
B-26025,15,19-02-2019
B-26088,15,26-03-2019
B-25616,16,15-04-2018
B-26026,16,19-02-2019
B-26089,16,26-03-2019
B-25617,17,17-04-2018
B-26027,17,20-02-2019
B-26090,17,27-03-2019
B-25618,18,18-04-2018
B-26028,18,20-02-2019
B-26091,18,27-03-2019
B-25619,19,18-04-2018
B-26029,19,20-02-2019
B-26092,19,27-03-2019
B-25620,20,20-04-2018
B-26030,20,21-02-2019
B-26093,20,27-03-2019
B-25621,21,20-04-2018
B-26031,21,22-02-2019
B-26094,21,27-03-2019
B-25622,22,22-04-2018
B-26032,22,22-02-2019
B-26095,22,28-03-2019
B-25623,23,22-04-2018
B-26033,23,22-02-2019
B-26096,23,28-03-2019
B-25624,24,22-04-2018
B-26034,24,23-02-2019
B-26097,24,28-03-2019
B-25625,25,23-04-2018
B-26035,25,23-02-2019
B-26098,25,29-03-2019
B-25626,26,23-04-2018
B-26036,26,23-02-2019
B-26099,26,30-03-2019
B-25627,27,23-04-2018
B-26037,27,23-02-2019
B-26100,27,31-03-2019
B-25628,28,24-04-2018
B-26038,28,24-02-2019
B-25629,29,24-04-2018
B-26039,29,25-02-2019
B-25630,30,24-04-2018
B-26040,30,26-02-2019
B-25631,31,24-04-2018
B-26041,31,27-02-2019
B-25632,32,25-04-2018
B-26042,32,28-02-2019
B-25633,33,26-04-2018
B-26043,33,01-03-2019
B-25634,34,26-04-2018
B-26044,34,02-03-2019
B-25635,35,26-04-2018
B-26045,35,03-03-2019
B-25636,36,26-04-2018
B-26046,36,04-03-2019
B-25637,37,26-04-2018
B-26047,37,04-03-2019
B-25638,38,26-04-2018
B-26048,38,04-03-2019
B-25639,39,27-04-2018
B-26049,39,05-03-2019
B-25640,40,27-04-2018
B-26050,40,06-03-2019
B-25641,41,27-04-2018
B-26051,41,07-03-2019
B-25642,42,28-04-2018
B-26052,42,08-03-2019
B-25643,43,29-04-2018
B-26053,43,09-03-2019
B-25644,44,30-04-2018
B-26054,44,10-03-2019
B-25645,45,01-05-2018
B-26055,45,10-03-2019
B-25646,46,01-05-2018
B-26056,46,10-03-2019
B-25647,47,03-05-2018
B-26057,47,10-03-2019
B-25648,48,04-05-2018
B-26058,48,11-03-2019
B-25649,49,05-05-2018
B-26059,49,12-03-2019
B-25650,50,06-05-2018
B-26060,50,13-03-2019
B-25651,51,07-05-2018
B-26061,51,14-03-2019
B-25652,52,08-05-2018
B-26062,52,15-03-2019
B-25653,53,08-05-2018
B-26063,53,15-03-2019
B-25654,54,10-05-2018
B-25655,55,11-05-2018
B-26065,55,16-03-2019
B-25656,56,11-05-2018
B-26066,56,16-03-2019
B-25657,57,13-05-2018
B-26067,57,16-03-2019
B-25658,58,14-05-2018
