"name";"rating";"genre";"year";"released";"score";"votes";"director";"writer";"star";"country";"budget";"gross";"company";"runtime"
"The Shining";"R";"Drama";1980;"June 13, 1980 (United States)";8.4;927000.0;"Stanley Kubrick";"Stephen King";"Jack Nicholson";"United Kingdom";19000000;"46998772.0";"Warner Bros.";146.0
"The Blue Lagoon";"R";"Adventure";1980;"July 2, 1980 (United States)";5.8;65000.0;"Randal Kleiser";"Henry De Vere Stacpoole";"Brooke Shields";"United States";4500000;"58853106.0";"Columbia Pictures";104.0
"Star Wars: Episode V - The Empire Strikes Back";"PG";"Action";1980;"June 20, 1980 (United States)";8.7;1200000.0;"Irvin Kershner";"Leigh Brackett";"Mark Hamill";"United States";18000000;"538375067.0";"Lucasfilm";124.0
"Airplane!";"PG";"Comedy";1980;"July 2, 1980 (United States)";7.7;221000.0;"Jim Abrahams";"Jim Abrahams";"Robert Hays";"United States";3500000;"83453539.0";"Paramount Pictures";88.0
"Caddyshack";"R";"Comedy";1980;"July 25, 1980 (United States)";7.3;108000.0;"Harold Ramis";"Brian Doyle-Murray";"Chevy Chase";"United States";6000000;"39846344.0";"Orion Pictures";98.0
"Friday the 13th";"R";"Horror";1980;"May 9, 1980 (United States)";6.4;123000.0;"Sean S. Cunningham";"Victor Miller";"Betsy Palmer";"United States";550000;"39754601.0";"Paramount Pictures";95.0
"The Blues Brothers";"R";"Action";1980;"June 20, 1980 (United States)";7.9;188000.0;"John Landis";"Dan Aykroyd";"John Belushi";"United States";27000000;"115229890.0";"Universal Pictures";133.0
"Raging Bull";"R";"Biography";1980;"December 19, 1980 (United States)";8.2;330000.0;"Martin Scorsese";"Jake LaMotta";"Robert De Niro";"United States";18000000;"23402427.0";"Chartoff-Winkler Productions";129.0
"Superman II";"PG";"Action";1980;"June 19, 1981 (United States)";6.8;101000.0;"Richard Lester";"Jerry Siegel";"Gene Hackman";"United States";54000000;"108185706.0";"Dovemead Films";127.0
"The Long Riders";"R";"Biography";1980;"May 16, 1980 (United States)";7.0;10000.0;"Walter Hill";"Bill Bryden";"David Carradine";"United States";10000000;"15795189.0";"United Artists";100.0
"Any Which Way You Can";"PG";"Action";1980;"December 17, 1980 (United States)";6.1;18000.0;"Buddy Van Horn";"Stanford Sherman";"Clint Eastwood";"United States";15000000;"70687344.0";"The Malpaso Company";116.0
"The Gods Must Be Crazy";"PG";"Adventure";1980;"October 26, 1984 (United States)";7.3;54000.0;"Jamie Uys";"Jamie Uys";"N!xau";"South Africa";5000000;"30031783.0";"C.A.T. Films";109.0
"Popeye";"PG";"Adventure";1980;"December 12, 1980 (United States)";5.3;30000.0;"Robert Altman";"Jules Feiffer";"Robin Williams";"United States";20000000;"49823037.0";"Paramount Pictures";114.0
"Ordinary People";"R";"Drama";1980;"September 19, 1980 (United States)";7.7;49000.0;"Robert Redford";"Judith Guest";"Donald Sutherland";"United States";6000000;"54766923.0";"Paramount Pictures";124.0
"Dressed to Kill";"R";"Crime";1980;"July 25, 1980 (United States)";7.1;37000.0;"Brian De Palma";"Brian De Palma";"Michael Caine";"United States";6500000;"31899000.0";"Filmways Pictures";104.0
"Somewhere in Time";"PG";"Drama";1980;"October 3, 1980 (United States)";7.2;27000.0;"Jeannot Szwarc";"Richard Matheson";"Christopher Reeve";"United States";5100000;"9709597.0";"Rastar Pictures";103.0
"Fame";"R";"Drama";1980;"May 16, 1980 (United States)";6.6;21000.0;"Alan Parker";"Christopher Gore";"Eddie Barth";"United States";0;"21202829.0";"Metro-Goldwyn-Mayer (MGM)";134.0
"9 to 5";"PG";"Comedy";1980;"December 19, 1980 (United States)";6.9;29000.0;"Colin Higgins";"Patricia Resnick";"Jane Fonda";"United States";10000000;"103300686.0";"IPC Films";109.0
"The Fog";"R";"Horror";1980;"February 8, 1980 (United States)";6.8;66000.0;"John Carpenter";"John Carpenter";"Adrienne Barbeau";"United States";1000000;"21448782.0";"AVCO Embassy Pictures";89.0
"Stir Crazy";"R";"Comedy";1980;"December 12, 1980 (United States)";6.8;26000.0;"Sidney Poitier";"Bruce Jay Friedman";"Gene Wilder";"United States";0;"101300000.0";"Columbia Pictures";111.0
"Cruising";"R";"Crime";1980;"February 15, 1980 (United States)";6.5;20000.0;"William Friedkin";"William Friedkin";"Al Pacino";"West Germany";11000000;"19814523.0";"Lorimar Film Entertainment";102.0
"Heaven's Gate";"R";"Adventure";1980;"April 24, 1981 (United States)";6.8;14000.0;"Michael Cimino";"Michael Cimino";"Kris Kristofferson";"United States";44000000;"3484523.0";"Partisan Productions";219.0
"The Final Countdown";"PG";"Action";1980;"August 1, 1980 (United States)";6.7;22000.0;"Don Taylor";"Thomas Hunter";"Kirk Douglas";"United States";12000000;"16647800.0";"Bryna Productions";103.0
"Xanadu";"PG";"Fantasy";1980;"August 8, 1980 (United States)";5.3;12000.0;"Robert Greenwald";"Richard Christian Danus";"Olivia Newton-John";"United States";20000000;"22762571.0";"Universal Pictures";96.0
"Urban Cowboy";"PG";"Drama";1980;"June 6, 1980 (United States)";6.4;14000.0;"James Bridges";"Aaron Latham";"John Travolta";"United States";0;"46918287.0";"Paramount Pictures";132.0
"Altered States";"R";"Horror";1980;"December 25, 1980 (United States)";6.9;33000.0;"Ken Russell";"Paddy Chayefsky";"William Hurt";"United States";0;"19853892.0";"Warner Bros.";102.0
"Little Darlings";"R";"Comedy";1980;"March 21, 1980 (United States)";6.5;5100.0;"Ron Maxwell";"Kimi Peck";"Tatum O'Neal";"United States";0;"34326249.0";"Stephen Friedman/Kings Road Productions";96.0
"Raise the Titanic";"PG";"Action";1980;"August 1, 1980 (United States)";5.0;4100.0;"Jerry Jameson";"Adam Kennedy";"Jason Robards";"United Kingdom";36000000;"";"ITC Films";115.0
"Brubaker";"R";"Crime";1980;"June 20, 1980 (United States)";7.2;17000.0;"Stuart Rosenberg";"W.D. Richter";"Robert Redford";"United States";9000000;"37121708.0";"Twentieth Century Fox";131.0
