order_id,user_id,r_id,amount,date,partner_id,delivery_time,delivery_rating,restaurant_rating
1001,1,1,550,2022-05-10,1,25,5,3
1002,1,2,415,2022-05-26,1,19,5,2
1003,1,3,240,2022-06-15,5,29,4,
1004,1,3,240,2022-06-29,4,42,3,5
1005,1,3,220,2022-07-10,1,58,1,4
1006,2,1,950,2022-06-10,2,16,5,
1007,2,2,530,2022-06-23,3,60,1,5
1008,2,3,240,2022-07-07,5,33,4,5
1009,2,4,300,2022-07-17,4,41,1,
1010,2,5,650,2022-07-31,1,67,1,4
1011,3,1,450,2022-05-10,2,25,3,1
1012,3,4,180,2022-05-20,5,33,4,1
1013,3,2,230,2022-05-30,4,45,3,
1014,3,2,230,2022-06-11,2,55,1,2
1015,3,2,230,2022-06-22,3,21,5,
1016,4,4,300,2022-05-15,3,31,5,5
1017,4,4,300,2022-05-30,1,50,1,
1018,4,4,400,2022-06-15,2,40,3,5
1019,4,5,400,2022-06-30,1,70,2,4
1020,4,5,400,2022-07-15,3,26,5,3
1021,5,1,550,2022-07-01,5,22,2,
1022,5,1,550,2022-07-08,1,34,5,1
1023,5,2,645,2022-07-15,4,38,5,1
1024,5,2,645,2022-07-21,2,58,2,1
1025,5,2,645,2022-07-28,2,44,4,
